Titre de l'image,Sujets,0,1,2,3,4,5,6,7,8
tt2306745.jpg,[],,,,,,,,,
tt2635622.jpg,[],,,,,,,,,
tt1390539.jpg,[],,,,,,,,,
tt1540741.jpg,[],,,,,,,,,
tt2012011.jpg,[],,,,,,,,,
tt0765446.jpg,[],,,,,,,,,
tt2049559.jpg,[],,,,,,,,,
tt2910520.jpg,[],,,,,,,,,
tt1710469.jpg,[],,,,,,,,,
tt1787067.jpg,"['wade', 'srorsa.™', '“', 'fei', '%', 'absorbing', 'forget', '”', '“', 'fi', 'ptt', '“', 'adocumensey', 'gine', 'te', 'band', 'c', 'fire', 'nth']",powerful,highly,travel,shock,International,Wade,,,
tt2848824.jpg,[],,,,,,,,,
tt2554648.jpg,"['spark', 'man', 'story']",flicker,burning,man,narrative,,,,,
tt3379694.jpg,"['piggies', 'presents', 'ship']",foolish,piglet,movie,present,mud,ship,sail,away,
tt2184339.jpg,[],,,,,,,,,
tt2194499.jpg,[],,,,,,,,,
tt2334873.jpg,"['avin', 'sc', 'tabi', 'cee', 'cy', 'sal', 'hae', 'pe', 'surg', 'dat', 'sig']",calcium,scandium,tabi,fruit_drink,Internet_Explorer,,,,
tt2234155.jpg,['internship'],internship,,,,,,,,
tt2355540.jpg,[],,,,,,,,,
tt1718898.jpg,"['riciard', 'ashrey', 'tim', 'wls', 'blake', 'fast', 'friends', '’', 'rivals']",Blake,moment,,,,,,,
tt2545118.jpg,['blackfish'],nitrogen,seven,tautog,,,,,,
tt2706264.jpg,[],,,,,,,,,
tt1951261.jpg,[],,,,,,,,,
tt2437954.jpg,[],,,,,,,,,
tt1623205.jpg,[],,,,,,,,,
tt2507128.jpg,[],,,,,,,,,
tt1911644.jpg,"['halle', 'berry', 'breslin', 'call', '=', 'therters']",one,make,personal,Halle,berry,call,,,
tt2102502.jpg,[],,,,,,,,,
tt1985019.jpg,[],,,,,,,,,
tt3259324.jpg,['summit'],acme,,,,,,,,
tt2296697.jpg,"['wife', 'mother', 'escort']",wife,mother,bodyguard,,,,,,
tt2385006.jpg,[],,,,,,,,,
tt1453405.jpg,['monsters'],monster,,,,,,,,
tt2451742.jpg,[],,,,,,,,,
tt1661382.jpg,[],,,,,,,,,
tt2101341.jpg,[],,,,,,,,,
tt1196948.jpg,[],,,,,,,,,
tt2404555.jpg,[],,,,,,,,,
tt1392214.jpg,[],,,,,,,,,
tt2274570.jpg,['milo'],bad,milo,,,,,,,
tt3116072.jpg,[],,,,,,,,,
tt2235248.jpg,[],,,,,,,,,
tt2537176.jpg,"['filma', 'graves', '[']",controversial,spit,Graves,,,,,,
tt1390398.jpg,"['film', 'carl', '[', 'anaya', 'novel', 'bless', 'mili', 'ga']",movie,Franklin,establish,controversial,,,,,
