Id,nb_visages,position_visage,emotion1,emotion2
tt0088172,1,2,3,0
tt0088176,0,0,0,0
tt0088178,0,0,0,0
tt0088184,1,2,1,0
tt0088194,2,1,3,1
tt0088206,1,1,1,0
tt0088213,1,1,0,0
tt0088224,2,1,2,2
tt0088242,0,0,0,0
tt0088247,1,1,1,0
tt0088249,0,0,0,0
tt0088256,1,1,3,0
tt0088258,0,0,0,0
tt0088272,2,2,3,3
tt0088286,0,0,0,0
tt0088318,0,0,0,0
tt0088322,1,1,3,0
tt0088323,1,1,1,0
tt0088330,2,1,1,5
tt0088333,0,0,0,0
tt0088379,0,0,0,0
tt0088385,1,1,2,0
tt0088402,0,0,0,0
tt0088414,2,2,1,1
tt0088680,1,1,0,0
tt0088683,1,1,5,0
tt0088707,0,0,0,0
tt0088708,1,2,3,0
tt0088757,0,0,0,0
tt0088760,0,0,0,0
tt0088763,1,1,2,0
tt0088765,0,0,0,0
tt0088794,0,0,0,0
tt0088814,0,0,0,0
tt0088846,0,0,0,0
tt0088847,2,1,3,3
tt0088850,1,2,0,0
tt0088851,1,2,3,0
tt0088855,0,0,0,0
tt0088885,0,0,0,0
tt0088889,1,2,0,0
tt0088895,0,0,0,0
tt0088915,0,0,0,0
tt0088930,0,0,0,0
tt0088933,0,0,0,0
tt0088936,0,0,0,0
tt0088939,0,0,0,0
tt0088944,1,1,1,0
tt0088947,0,0,0,0
tt0088960,1,1,2,0
tt0088979,2,2,3,1
tt0088987,1,1,3,0
tt0088993,0,0,0,0
tt0089003,1,1,3,0
tt0089017,0,0,0,0
tt0089034,0,0,0,0
tt0089052,0,0,0,0
tt0089079,2,2,5,3
tt0089087,1,2,1,0
tt0089092,0,0,0,0
tt0089114,3,1,3,1
tt0089118,0,0,0,0
tt0089126,0,0,0,0
tt0089129,0,0,0,0
tt0089155,1,1,2,0
tt0089160,1,2,1,0
tt0089167,1,2,1,0
tt0089175,0,0,0,0
tt0089208,0,0,0,0
tt0089218,1,1,3,0
tt0089221,1,1,1,0
tt0089222,1,1,3,0
tt0089243,0,0,0,0
tt0089264,1,1,2,0
tt0089265,1,1,5,0
tt0089272,0,0,0,0
tt0089276,0,0,0,0
tt0089283,0,0,0,0
tt0089304,0,0,0,0
tt0089346,0,0,0,0
tt0089348,1,1,1,0
tt0089360,0,0,0,0
tt0089370,0,0,0,0
tt0089383,1,1,1,0
tt0089385,1,1,1,0
tt0089393,1,1,1,0
tt0089420,1,1,1,0
tt0089421,1,1,3,0
tt0089424,0,0,0,0
tt0089444,0,0,0,0
tt0089457,3,1,5,3
tt0089461,0,0,0,0
tt0089470,1,1,1,0
tt0089489,0,0,0,0
tt0089504,1,1,3,0
tt0089523,1,2,3,0
tt0089530,2,1,1,3
tt0089543,1,1,2,0
tt0089555,2,1,1,3
tt0089560,2,1,5,1
tt0089569,2,2,2,1
tt0089572,1,1,2,0
tt0089601,1,2,4,0
tt0089603,1,2,3,0
tt0089622,0,0,0,0
tt0089629,0,0,0,0
tt0089643,1,1,3,0
tt0089652,0,0,0,0
tt0089670,0,0,0,0
tt0089679,1,2,1,0
tt0089686,0,0,0,0
tt0089695,1,1,1,0
tt0089716,1,1,3,0
tt0089730,2,2,0,2
tt0089731,2,1,5,2
tt0089748,1,1,3,0
