CLI_ID,UNIVERS,MOIS_VENTE,FAMILLE,MAILLE,"('PRIX_NET', 'min')","('PRIX_NET', 'max')","('PRIX_NET', 'mean')"
991503711,MAQ_ONG Vernis LUM,8,MAQUILLAGE,MAQ_ONGLES,1.65,4.45,3.1333333333333333
991503729,CORPS_LAIT HUILE PLAISIRNATURE,2,SOINS DU CORPS,CORPS_HYDR_LAIT_HUILE,5.5,5.5,5.5
991503745,CORPS_SOIN PIEDS ET JAMBES,6,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,2.95,2.95,2.95
991503751,VIS_DEMAQ BLEUET,9,SOINS DU VISAGE,VIS_AUTRES,4.5,7.3,5.866666666666667
991503769,MAQ_ONG Vernis LUM,3,MAQUILLAGE,MAQ_ONGLES,1.25,5.35,2.766666666666667
991503800,SOL_AUTOBRONZANTS,9,SOLAIRES,SOLAIRE,10.9,10.9,10.9
991503818,CAP_SHAMP TSCHEVEUX,5,CAPILLAIRES,CAPILLAIRE_SHAMPOING,3.75,5.61,4.68
991503842,VIS_SOIN LEVRES,11,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.95,1.95,1.95
991503876,MAQ_LEV RAL Lum4,4,MAQUILLAGE,MAQ_LEV_BASPRIX,1.95,14.9,5.266666666666667
991503933,PARF_PARF ET EAU DE PARF,9,PARFUMAGE,PARF_PARFUM,19.9,19.9,19.9
991503967,MAQ_YEUX Crayons,10,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,2.7,2.7,2.7
991503991,VIS_SOIN LEVRES,12,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.9,24.9,4.7846153846153845
991504066,HYG_DOUCHE HAMMAM,12,HYGIENE,HYG_AUTRES,1.95,9.95,5.7299999999999995
991504165,MAQ_YEUX Mascara Specifique,6,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,2.95,19.95,7.31
991504173,CORPS_EXFOLIANT CORPS,6,SOINS DU CORPS,CORPS_SPA_ET_MINCEUR,2.95,12.0,6.392857142857143
991504206,PARF_EAUX PLAISIR NATURE,3,PARFUMAGE,PARF_EDT,4.95,9.9,8.510000000000002
991504298,HYG_DOUCHE EDT NOEL,12,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,1.9,24.9,6.221428571428571
991504347,VIS_TRAIT Jeunes Specifique,4,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,2.95,12.95,6.2
991504454,SOL_PROTECTEURS SOLAIRES,8,SOLAIRES,SOLAIRE,5.0,17.9,11.45
991504511,MAQ_TEINT Font teint,8,MAQUILLAGE,MAQ_TEINT,3.35,18.0,9.73
991504529,VIS_SOIN HOMMES,12,SOINS DU VISAGE,VIS_HOMMES,1.5,24.5,7.715000000000001
991504561,MAQ_LEV RAL Lum4,10,MAQUILLAGE,MAQ_LEV_BASPRIX,3.95,5.95,5.2
991504579,PARF_EAUX HOMMES,1,PARFUMAGE,PARF_HOMME,12.5,12.5,12.5
991504587,VIS_CJOUR AAAR,8,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,4.5,27.0,20.616666666666667
991504595,PARF_PARF ET EAU DE PARF,1,PARFUMAGE,PARF_PARFUM,27.0,29.9,28.74
991504610,PARF_PARF ET EAU DE PARF,7,PARFUMAGE,PARF_PARFUM,1.5,27.0,7.828571428571428
991504727,HYG_DOUCHE PARFUMS,9,HYGIENE,HYG_PARFUMEE,1.5,27.0,6.675
991504735,VIS_SOIN LEVRES,11,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.5,11.7,2.71875
